model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Alabama,2818,2779,2804,2831,2856
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Alaska,61,60,60,62,62
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Arizona,5791,5782,5788,5795,5801
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Arkansas,1705,1664,1690,1719,1745
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,California,17009,16891,16967,17049,17125
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Colorado,2184,2167,2178,2191,2201
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Connecticut,4576,4570,4574,4579,4582
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Delaware,665,662,663,667,668
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,District of Columbia,642,639,641,643,644
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Florida,15789,15632,15734,15842,15944
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Georgia,7605,7544,7583,7625,7665
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Hawaii,191,185,189,194,197
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Idaho,549,539,545,553,559
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Illinois,9444,9380,9421,9467,9508
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Indiana,3900,3863,3886,3912,3935
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Iowa,1550,1525,1541,1559,1575
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Kansas,899,867,887,910,930
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Kentucky,1297,1284,1292,1302,1310
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Louisiana,5719,5698,5711,5726,5738
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Maine,146,145,145,147,147
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Maryland,4029,4019,4025,4032,4038
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Massachusetts,9680,9658,9672,9687,9701
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Michigan,7355,7324,7344,7366,7385
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Minnesota,2252,2231,2244,2259,2271
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Mississippi,3183,3158,3174,3191,3207
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Missouri,2719,2639,2690,2746,2797
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Montana,235,228,232,238,243
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,National,218407,216980,217905,218887,219812
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Nebraska,540,534,537,542,546
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Nevada,1700,1688,1695,1704,1711
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,New Hampshire,471,466,469,474,477
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,New Jersey,16279,16269,16275,16282,16288
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,New Mexico,920,916,918,922,925
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,New York,33706,33673,33694,33717,33738
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,North Carolina,3894,3858,3881,3906,3929
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,North Dakota,424,402,416,432,446
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Ohio,5084,5058,5075,5094,5110
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Oklahoma,1142,1129,1137,1147,1154
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Oregon,641,630,637,645,652
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Pennsylvania,8447,8405,8432,8461,8488
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Puerto Rico,786,771,780,791,800
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Rhode Island,1137,1134,1136,1138,1140
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,South Carolina,3670,3637,3658,3681,3702
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,South Dakota,345,330,339,351,361
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Tennessee,3010,2945,2987,3033,3075
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Texas,17661,17476,17596,17724,17843
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Utah,562,549,557,566,574
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Vermont,59,59,59,60,60
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Virginia,3408,3389,3401,3414,3426
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Washington,2241,2229,2236,2246,2253
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,West Virginia,408,402,405,410,414
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Wisconsin,1579,1548,1568,1590,1610
BPagano,2020-10-12,1 wk ahead cum death,2020-10-17,Wyoming,56,55,56,57,57
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Alabama,3042,2940,3006,3076,3141
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Alaska,61,60,61,62,62
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Arizona,5808,5795,5803,5813,5822
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Arkansas,1885,1795,1853,1916,1975
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,California,17416,17186,17335,17494,17643
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Colorado,2275,2232,2259,2290,2318
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Connecticut,4603,4589,4598,4608,4616
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Delaware,676,670,674,679,683
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,District of Columbia,649,645,647,651,654
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Florida,16341,16034,16233,16445,16643
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Georgia,7815,7697,7773,7855,7932
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Hawaii,214,202,210,219,227
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Idaho,599,575,591,608,623
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Illinois,9709,9571,9660,9756,9845
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Indiana,4054,3975,4026,4081,4132
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Iowa,1655,1601,1636,1674,1709
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Kansas,1078,995,1048,1106,1159
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Kentucky,1345,1319,1336,1355,1372
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Louisiana,5783,5745,5769,5795,5819
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Maine,148,146,147,148,149
BPagano,2020-10-12,2 wk ahead cum death,2020-10-24,Maryland,4059,4041,4053,4065,4076
